"X","Y","pH60_100cm","Terrain_Ruggedness_Index","AACN","Landsat_Band1","Elevation","Hillshading","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","TWI","Slope","residual","looResiduals"
341172,6366150,8.819752,7.082957,59.137772,59,162.671799,10.756481,1540.62549,0.42627,0.05063,-0.212598,9.455935,9.380767,0.748637671466637,1.32637916381473
340649,6366374,6.310739,10.484759,57.445045,54,166.467697,16.608467,1449.89404,0.117699,0.002819,-0.245902,9.485394,13.326667,-0.707013644633313,-1.4063662677773
341086,6365803,5.492762,4.145873,23.368027,49,127.8255,1.541854,1681.90051,0.777831,1.977697,-0.185185,15.818791,1.53575,-0.557686783516654,-1.52581583972033
340386.442,6368689.83,4.468124,1.34426,1.619186,57,103.131798,1.849483,1689.1062,0.876207,3.851238,-0.142857,17.538311,1.79058,-1.10173849363333,-2.51551318828309
340934,6366020,5.975394,3.106072,28.908661,53,134.751694,2.488863,1667.27271,0.85077,2.545725,-0.193277,14.606524,2.401247,-0.44604752531668,-1.33802664221136
342430.9,6367056.9,5.785196,2.838798,27.384689,36,116.224998,2.425107,1751.51404,0.017936,1.940082,-0.410256,12.955101,2.777086,0.0474276404333365,0.0774284006893229
340598,6365526,7.173746,2.870772,22.825531,54,131.249298,2.401155,1744.3418,0.912197,2.955178,-0.172414,16.94504,2.604899,-0.0631295127500113,0.0459720727827291
341334.8,6366715.5,7.859814,6.272543,41.39817,49,142.132507,5.859772,1726.5387,0.577635,0.640884,-0.178947,11.826299,8.904656,0.460934236166643,0.732294787716592
341530.414,6368912.88,5.5,4.040518,21.882889,57,109.279701,4.184806,1719.2771,0.491649,0.498758,-0.17757,12.205225,5.493066,-0.0707580109999926,0.169717753059146
342484.8,6366240.5,5.042195,2.253531,9.880959,47,100.739304,2.640475,1662.75391,0.69011,1.8465,-0.28,15.662535,2.532575,-0.578270438266664,-1.34060363080246
340180.118,6368391.9,5.806683,2.283172,0,49,106.686203,1.515,1712.24072,0.899982,2.940423,-0.233333,17.733269,1.53041,-0.36362100549999,-0.562723272787287
340948,6366012,8.478439,3.019687,29.324242,47,134.9198,3.447534,1652.14917,0.859297,1.934003,-0.142857,14.276061,3.354082,0.570865981952383,0.818681682278424
